date,location,new_cases_per_million,new_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,new_vaccinations_smoothed_per_million
1/23/2020,United States,0,0,0,0,
1/24/2020,United States,0.003,0,0,0,
1/25/2020,United States,0,0,0,0,
1/26/2020,United States,0.009,0,0,0,
1/27/2020,United States,0,0,0,0,
1/28/2020,United States,0,0,0,0,
1/29/2020,United States,0.003,0,0,0,
1/30/2020,United States,0,0,0,0,
1/31/2020,United States,0.006,0,0,0,
2/1/2020,United States,0,0,0,0,
2/2/2020,United States,0,0,0,0,
2/3/2020,United States,0.009,0,0,0,
2/4/2020,United States,0,0,0,0,
2/5/2020,United States,0,0,0,0,
2/6/2020,United States,0.003,0,0,0,
2/7/2020,United States,0,0,0,0,
2/8/2020,United States,0,0,0,0,
2/9/2020,United States,0,0,0,0,
2/10/2020,United States,0,0,0,0,
2/11/2020,United States,0.003,0,0,0,
2/12/2020,United States,0,0,0,0,
2/13/2020,United States,0.003,0,0,0,
2/14/2020,United States,0,0,0,0,
2/15/2020,United States,0,0,0,0,
2/16/2020,United States,0,0,0,0,
2/17/2020,United States,0,0,0,0,
2/18/2020,United States,0,0,0,0,
2/19/2020,United States,0,0,0,0,
2/20/2020,United States,0,0,0,0,
2/21/2020,United States,0.006,0,0,0,
2/22/2020,United States,0,0,0,0,
2/23/2020,United States,0,0,0,0,
2/24/2020,United States,0,0,0,0,
2/25/2020,United States,0,0,0,0,
2/26/2020,United States,0,0,0,0,
2/27/2020,United States,0.003,0,0,0,
2/28/2020,United States,0,0,0,0,
2/29/2020,United States,0.024,0.003,0,0,
3/1/2020,United States,0.021,0,0,0,
3/2/2020,United States,0.069,0.015,0,0,
3/3/2020,United States,0.057,0.003,0,0,
3/4/2020,United States,0.1,0.012,0,0,
3/5/2020,United States,0.233,0.003,0,0,
3/6/2020,United States,0.16,0.006,0,0,
3/7/2020,United States,0.502,0.009,0,0,
3/8/2020,United States,0.35,0.012,0,0,
3/9/2020,United States,0.227,0.003,0,0,
3/10/2020,United States,0.568,0.018,0,0,
3/11/2020,United States,1.103,0.015,0,0,
3/12/2020,United States,1.326,0.03,0,0,
3/13/2020,United States,1.912,0.024,0,0,
3/14/2020,United States,2.293,0.021,0,0,
3/15/2020,United States,0.707,0.036,0,0,
3/16/2020,United States,4.432,0.082,0,0,
3/17/2020,United States,5.538,0.112,0,0,
3/18/2020,United States,8.027,0.181,0,0,
3/19/2020,United States,13.577,0.218,0,0,
3/20/2020,United States,19.235,0.32,0,0,
3/21/2020,United States,18.112,0.311,0,0,
3/22/2020,United States,26.806,0.366,0,0,
3/23/2020,United States,33.951,0.58,0,0,
3/24/2020,United States,32.081,0.734,0,0,
3/25/2020,United States,36.501,1.006,0,0,
3/26/2020,United States,53.945,1.269,0,0,
3/27/2020,United States,56.465,1.577,0,0,
3/28/2020,United States,59.305,1.94,0,0,
3/29/2020,United States,57.096,1.885,0,0,
3/30/2020,United States,66.691,2.154,0,0,
3/31/2020,United States,79.498,3.278,0,0,
4/1/2020,United States,97.41,3.879,0,0,
4/2/2020,United States,97.386,4.568,0,0,
4/3/2020,United States,97.543,4.32,0,0,
4/4/2020,United States,97.933,4.728,0,0,
4/5/2020,United States,90.262,4.873,0,0,
4/6/2020,United States,94.806,5.35,0,0,
4/7/2020,United States,92.951,7.788,0,0,
4/8/2020,United States,94.235,6.511,0,0,
4/9/2020,United States,108.582,6.653,0,0,
4/10/2020,United States,103.972,6.628,0,0,
4/11/2020,United States,88.005,6.429,0,0,
4/12/2020,United States,82.341,5.659,0,0,
4/13/2020,United States,81.359,6.082,0,0,
4/14/2020,United States,86.951,7.353,0,0,
4/15/2020,United States,76.857,7.87,0,0,
4/16/2020,United States,90.739,6.474,0,0,
4/17/2020,United States,99.788,6.372,0,0,
4/18/2020,United States,84.386,5.982,0,0,
4/19/2020,United States,78.839,5.952,0,0,
4/20/2020,United States,90.114,6.743,0,0,
4/21/2020,United States,78.298,7.601,0,0,
4/22/2020,United States,87.187,7.408,0,0,
4/23/2020,United States,101.419,7.435,0,0,
4/24/2020,United States,97.664,6.604,0,0,
4/25/2020,United States,91.83,5.166,0,0,
4/26/2020,United States,80.063,4.227,0,0,
4/27/2020,United States,71.61,4.553,0,0,
4/28/2020,United States,74.25,6.728,0,0,
4/29/2020,United States,79.872,7.293,0,0,
4/30/2020,United States,88.277,6.637,0,0,
5/1/2020,United States,105.516,5.755,0,0,
5/2/2020,United States,82.628,5.233,0,0,
5/3/2020,United States,73.404,3.592,0,0,
5/4/2020,United States,72.764,4.166,0,0,
5/5/2020,United States,74.111,6.785,0,0,
5/6/2020,United States,74.196,6.982,0,0,
5/7/2020,United States,82.815,5.819,0,0,
5/8/2020,United States,81.084,5.32,0,0,
5/9/2020,United States,75.939,4.432,0,0,
5/10/2020,United States,57,2.949,0,0,
5/11/2020,United States,58.22,3.151,0,0,
5/12/2020,United States,69.329,4.834,0,0,
5/13/2020,United States,61.655,5.251,0,0,
5/14/2020,United States,81.021,5.399,0,0,
5/15/2020,United States,74.764,5.045,0,0,
5/16/2020,United States,72.987,3.622,0,0,
5/17/2020,United States,55.477,2.471,0,0,
5/18/2020,United States,67.643,3.707,0,0,
5/19/2020,United States,63.465,4.402,0,0,
5/20/2020,United States,68.57,4.532,0,0,
5/21/2020,United States,77.842,3.589,0,0,
5/22/2020,United States,71.468,3.686,0,0,
5/23/2020,United States,63.782,3.281,0,0,
5/24/2020,United States,60.625,1.924,0,0,
5/25/2020,United States,56.413,1.789,0,0,
5/26/2020,United States,59.365,2.045,0,0,
5/27/2020,United States,56.039,4.417,0,0,
5/28/2020,United States,67.438,3.344,0,0,
5/29/2020,United States,73.936,3.423,0,0,
5/30/2020,United States,71.398,2.882,0,0,
5/31/2020,United States,57.362,1.852,0,0,
6/1/2020,United States,52.673,2.344,0,0,
6/2/2020,United States,64.963,2.964,0,0,
6/3/2020,United States,59.954,3.054,0,0,
6/4/2020,United States,65.404,3.054,0,0,
6/5/2020,United States,76.737,2.701,0,0,
6/6/2020,United States,63.927,1.943,0,0,
6/7/2020,United States,54.126,1.378,0,0,
6/8/2020,United States,53.284,1.532,0,0,
6/9/2020,United States,55.54,2.758,0,0,
6/10/2020,United States,63.776,2.637,0,0,
6/11/2020,United States,69.888,2.508,0,0,
6/12/2020,United States,75.123,2.505,0,0,
6/13/2020,United States,76.156,2.214,0,0,
6/14/2020,United States,57.244,1.033,0,0,
6/15/2020,United States,59.876,1.193,0,0,
6/16/2020,United States,71.51,2.459,0,0,
6/17/2020,United States,81.764,2.233,0,0,
6/18/2020,United States,86.178,2.085,0,0,
6/19/2020,United States,95.356,1.897,0,0,
6/20/2020,United States,97.492,1.698,0,0,
6/21/2020,United States,75.975,0.949,0,0,
6/22/2020,United States,97.129,1.233,0,0,
6/23/2020,United States,112.014,2.26,0,0,
6/24/2020,United States,108.38,2.26,0,0,
6/25/2020,United States,121.809,1.601,0,0,
6/26/2020,United States,138.951,1.891,0,0,
6/27/2020,United States,124.911,1.517,0,0,
6/28/2020,United States,123.053,0.964,0,0,
6/29/2020,United States,124.718,1.157,0,0,
6/30/2020,United States,140.274,1.683,0,0,
7/1/2020,United States,156.552,2.13,0,0,
7/2/2020,United States,171.08,2.163,0,0,
7/3/2020,United States,155.165,2.015,0,0,
7/4/2020,United States,138.011,0.924,0,0,
7/5/2020,United States,153.379,0.982,0,0,
7/6/2020,United States,130.162,1.136,0,0,
7/7/2020,United States,183.243,3.514,0,0,
7/8/2020,United States,181.63,2.541,0,0,
7/9/2020,United States,188.808,3.057,0,0,
7/10/2020,United States,205.603,2.435,0,0,
7/11/2020,United States,181.322,2.196,0,0,
7/12/2020,United States,176.594,1.426,0,0,
7/13/2020,United States,177.926,1.341,0,0,
7/14/2020,United States,205.542,2.807,0,0,
7/15/2020,United States,205.802,2.94,27.988,102.325,
7/16/2020,United States,229.059,2.885,29.649,115.875,
7/17/2020,United States,218.312,2.795,32.238,120.531,
7/18/2020,United States,188.932,2.625,33.072,121.757,
7/19/2020,United States,182.699,1.408,31.087,114.939,
7/20/2020,United States,187.585,1.701,34.042,123.884,
7/21/2020,United States,194.896,3.305,34.544,127.017,
7/22/2020,United States,213.204,3.695,37.586,138.806,
7/23/2020,United States,206.772,3.281,41.009,141.256,
7/24/2020,United States,221.515,3.323,41.063,140.531,
7/25/2020,United States,196.119,2.758,42.975,154.923,
7/26/2020,United States,165.76,1.613,36.96,129.531,
