date,location,new_cases_per_million,new_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,new_vaccinations_smoothed_per_million
12/21/2020,United States,601.503,5.852,79.909,346.037,173
12/22/2020,United States,598.385,10.248,80.833,354.55,381
12/23/2020,United States,693.532,10.329,81.428,356.314,450
12/24/2020,United States,586.6,8.788,80.737,350.961,571
12/25/2020,United States,294.907,4.23,80.277,342.369,644
12/26/2020,United States,683.689,5.677,80.764,348.583,692
12/27/2020,United States,470.19,4.32,81.863,359.323,632
12/28/2020,United States,527.642,6.048,83.141,366.287,646
12/29/2020,United States,604.802,10.964,83.942,370.064,705
12/30/2020,United States,705.837,11.266,83.718,373.846,763
12/31/2020,United States,711.671,10.408,83.715,371.846,834
1/1/2021,United States,463.773,6.504,82.869,365.021,904
1/2/2021,United States,907.594,7.562,83.341,370.233,974
1/3/2021,United States,630.632,4.353,84.673,379.133,1007
1/4/2021,United States,556.79,6.338,85.471,384.804,1041
1/5/2021,United States,710.109,11.151,86.247,389.088,1015
1/6/2021,United States,771.562,11.87,86.54,392.205,1073
1/7/2021,United States,840.069,11.979,86.027,388.801,1131
1/8/2021,United States,885.936,12.359,85.767,386.066,1256
1/9/2021,United States,793.519,10.069,85.175,381.372,1379
1/10/2021,United States,644.309,6.039,85.77,382.057,1634
1/11/2021,United States,649.487,6.329,86.863,385.359,1890
1/12/2021,United States,685.656,13.526,87.235,383.586,1918
1/13/2021,United States,695.913,12.163,86.839,381.982,2124
1/14/2021,United States,711.819,11.997,86.226,376.441,2234
1/15/2021,United States,733.372,11.77,90.73,373.441,2388
1/16/2021,United States,609.176,10.356,84.942,365.369,2427
1/17/2021,United States,537.135,5.643,84.274,364.638,2466
1/18/2021,United States,433.202,4.574,84.153,363.716,2504
1/19/2021,United States,533.947,8.251,83.341,360.215,2725
1/20/2021,United States,553.482,13.308,81.543,353.626,2668
1/21/2021,United States,585.343,12.631,80.054,344.07,2733
1/22/2021,United States,576.059,11.577,78.558,337.305,2917
1/23/2021,United States,515.47,10.094,76.613,324.955,3162
1/24/2021,United States,395.861,5.725,75.897,322.967,3355
1/25/2021,United States,459.117,5.952,75.513,320.556,3368
1/26/2021,United States,445.827,12.178,75.181,315.496,3346
1/27/2021,United States,462.954,11.943,73.564,309.596,3472
1/28/2021,United States,511.355,12.157,71.833,301.762,3694
